SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
04/01/2022 08:44:13AM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
1472,15,1141180,3/22/2022,10:38:37AM,181887,EXC181887,$17.67 ,2,$28.42 ,$56.84 ,$21.50 ,EXC,AP
7194-1,88,1141414,3/23/2022,08:34:33AM,CB2100842X,MERCB2100842X,$23.90 ,2,$38.27 ,$76.54 ,$28.74 ,MER,AP
1472,15,1141180,3/22/2022,10:38:37AM,NC3000,LCSNC3000,$5.41 ,2,$7.70 ,$15.40 ,$4.58 ,LCS,AP
3633,85,1142383,3/29/2022,03:08:38PM,51410,WIX51410,$7.21 ,3,$8.22 ,$24.66 ,$3.03 ,WIX,A
3633,85,1142383,3/29/2022,03:08:38PM,46232,WIX46232,$25.66 ,1,$34.35 ,$34.35 ,$8.69 ,WIX,A
3633,85,1142383,3/29/2022,03:08:38PM,51243MP,WIX51243MP,$5.03 ,1,$5.75 ,$5.75 ,$0.72 ,WIX,A
9000,85,1139444,3/10/2022,01:17:41PM,904-7703,DOR904-7703,$0.00 ,1,$30.92 ,$30.92 ,$30.92 ,DOR,AP
3633,85,1142383,3/29/2022,03:08:38PM,42985,WIX42985,$14.45 ,2,$16.21 ,$32.42 ,$3.52 ,WIX,A
3633,85,1142383,3/29/2022,03:08:38PM,51806,WIX51806,$8.07 ,1,$9.93 ,$9.93 ,$1.86 ,WIX,A
3633,85,1142383,3/29/2022,03:08:38PM,51521,WIX51521,$5.12 ,2,$6.79 ,$13.58 ,$3.34 ,WIX,A
3633,85,1142383,3/29/2022,03:08:38PM,46233,WIX46233,$24.20 ,1,$31.97 ,$31.97 ,$7.77 ,WIX,A
D711,123,624117,3/17/2022,07:47:07AM,AW68P,LCSAW68P,$31.48 ,1,$39.00 ,$39.00 ,$7.52 ,LCS,AP
D2265-1,129,625886,3/31/2022,05:01:31PM,16276,VEL016276,$9.65 ,1,$16.05 ,$16.05 ,$6.40 ,VEL,A
28,15,1141495,3/23/2022,04:26:09PM,500031,VEL500031,$4.98 ,-2,$8.03 ,($16.06),($6.10),VEL,A
1198-1,74,1142618,3/30/2022,01:27:13PM,33674MP,WIX33674MP,$11.97 ,-1,$18.29 ,($18.29),($6.32),WIX,A
3313,13,1141780,3/24/2022,,41121,GRC41121,$1.39 ,11,$3.56 ,$39.16 ,$23.87 ,GRC,A
28,15,1141495,3/23/2022,04:26:09PM,HDV1601B,GASHDV1601B,$106.27 ,-2,$156.45 ,($312.90),($100.36),GAS,A
28,15,1141495,3/23/2022,04:26:09PM,G36195-0405,GATG36195-0405,$1.01 ,-2,$3.95 ,($7.90),($5.88),GAT,A
1198-1,74,1142618,3/30/2022,01:27:13PM,33406MP,WIX33406MP,$13.95 ,-1,$20.93 ,($20.93),($6.98),WIX,A
28,15,1141495,3/23/2022,04:26:09PM,MRK4707QH23V,MERMRK4707QH23V,$32.63 ,-2,$46.41 ,($92.82),($27.56),MER,A
1198-1,74,1142618,3/30/2022,01:27:13PM,51792MP,WIX51792MP,$14.38 ,-1,$21.57 ,($21.57),($7.19),WIX,A
28,15,1141495,3/23/2022,04:26:09PM,G36210-0405,GATG36210-0405,$1.30 ,-2,$3.96 ,($7.92),($5.32),GAT,A
28,15,1141495,3/23/2022,04:26:09PM,451713,SLN451713,$11.71 ,-1,$15.82 ,($15.82),($4.11),SLN,A
