SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
03/01/2022 12:01:25PM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
5705-1,6,1133515,2/3/2022,10:10:54AM,1501260,BYR1501260,$531.75 ,1,$825.63 ,$825.63 ,$293.88 ,BYR,AP
5705-1,6,1133515,2/3/2022,10:10:54AM,1702850,BYR1702850,$552.72 ,1,$825.76 ,$825.76 ,$273.04 ,BYR,A
D1922,69,618680,2/1/2022,04:24:41PM,82-2203,GRC82-2203,$4.89 ,1,$5.87 ,$5.87 ,$0.98 ,GRC,AP
D4830,87,618688,2/1/2022,,B51,GATB51,$8.00 ,1,$11.41 ,$11.41 ,$3.41 ,GAT,A
2826,64,1133116,2/1/2022,02:38:17PM,45126,SHL45126,$14.26 ,30,$14.99 ,$449.70 ,$21.90 ,SHL,AP
2826,64,1133116,2/1/2022,02:38:17PM,45126,SHL45126,$14.26 ,-30,$20.27 ,($608.10),($180.30),SHL,A
D4925,69,619365,2/7/2022,09:57:33AM,AW68P,LCSAW68P,$30.65 ,8,$33.95 ,$271.60 ,$26.40 ,LCS,AP
D0517,69,619431,2/7/2022,,S-690,MILS-690,$5.51 ,1,$8.23 ,$8.23 ,$2.72 ,MIL,AP
D3290-1,87,619773,2/9/2022,02:22:00PM,STL66149,ISNSTL66149,$52.33 ,0,$69.77 ,,,ISN,AP
D3555,69,618975,2/3/2022,05:34:46PM,WL10106,WIXWL10106,$18.30 ,2,$16.96 ,$33.92 ,($2.68),WIX,A
D3555,69,618975,2/3/2022,05:34:46PM,94902-3,TLC94902-3,$1.03 ,4,$1.58 ,$6.32 ,$2.20 ,TLC,A
D3555,69,618975,2/3/2022,05:34:46PM,10202R3,TLC10202R3,$1.40 ,4,$2.19 ,$8.76 ,$3.16 ,TLC,A
D3555,69,618975,2/3/2022,05:34:46PM,33899,WIX33899,$43.92 ,1,$41.03 ,$41.03 ,($2.89),WIX,A
D3555,69,618975,2/3/2022,05:34:46PM,G20170-0808X,GATG20170-0808X,$4.94 ,8,$8.99 ,$71.92 ,$32.40 ,GAT,A
D3555,69,618975,2/3/2022,05:34:46PM,57312MP,WIX57312MP,$14.96 ,1,$14.62 ,$14.62 ,($0.34),WIX,A
D3555,69,618975,2/3/2022,05:34:46PM,WF10011,WIXWF10011,$67.17 ,0,$59.78 ,,,WIX,A
D3555,69,618975,2/3/2022,05:34:46PM,51791MP,WIX51791MP,$9.03 ,4,$8.21 ,$32.84 ,($3.28),WIX,A
D3555,69,618975,2/3/2022,05:34:46PM,15200R,TLC15200R,$1.81 ,2,$2.80 ,$5.60 ,$1.98 ,TLC,A
2132,6,1133559,2/3/2022,01:29:13PM,33674MP,WIX33674MP,$11.63 ,1,$11.28 ,$11.28 ,($0.35),WIX,A
2132,6,1133559,2/3/2022,01:29:13PM,WA10009,WIXWA10009,$69.33 ,2,$69.10 ,$138.20 ,($0.46),WIX,A
3487-2,114,1136921,2/24/2022,10:07:47AM,82-5602,GRC82-5602,$0.66 ,28,$1.27 ,$35.56 ,$17.08 ,GRC,A
D3090,97,619647,2/8/2022,04:09:46PM,MAF-108925-8,MERMAF-108925-82,$504.75 ,1,$617.64 ,$617.64 ,$112.89 ,MER,AP
D3090,97,619647,2/8/2022,04:09:46PM,60402-0006,AGA60402-0006,$0.52 ,3,$2.10 ,$6.30 ,$4.74 ,AGA,A
D3090,97,619647,2/8/2022,04:09:46PM,RC2540K,MIDRC2540K,$1.21 ,1,$4.52 ,$4.52 ,$3.31 ,MID,A
