SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
05/01/2022 02:54:13PM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
D3069,16,626030,4/1/2022,08:54:55AM,48-59-1810,MLW48-59-1810,$97.58 ,1,$117.10 ,$117.10 ,$19.52 ,MLW,AP
D9650,123,626745,4/8/2022,,16081,VEL016081,$0.55 ,,$2.01 ,,,VEL,A
D9650,123,626745,4/8/2022,,17864,VEL017864,$2.29 ,,$4.81 ,,,VEL,A
D9650,123,626745,4/8/2022,,16087,VEL016087,$1.45 ,,$3.98 ,,,VEL,A
D9650,123,626745,4/8/2022,,16864,VEL016864,$1.08 ,,$3.10 ,,,VEL,A
D9650,123,626745,4/8/2022,,16083,VEL016083,$1.03 ,,$2.97 ,,,VEL,A
D3069,16,626030,4/1/2022,08:54:55AM,2646-21CT,MLW2646-21CT,$218.94 ,1,$285.87 ,$285.87 ,$66.93 ,MLW,AP
D9650,123,626745,4/8/2022,,16160,VEL016160,$0.42 ,,$1.56 ,,,VEL,A
4859,6,1144959,4/14/2022,01:51:12PM,831040,PAI831040,$11.25 ,1,$15.75 ,$15.75 ,$4.50 ,PAI,A
4859,6,1144959,4/14/2022,01:51:12PM,82-1019,GRC82-1019,$5.52 ,4,$9.40 ,$37.60 ,$15.52 ,GRC,A
5699-1,4,1147222,4/28/2022,09:31:10AM,8C3Z17682AC,SPO8C3Z17682AC,$165.55 ,1,$206.93 ,$206.93 ,$41.38 ,SPO,APQT
4859,6,1144959,4/14/2022,01:51:12PM,EGK-3930,PAIEGK-3930,$4.62 ,1,$6.47 ,$6.47 ,$1.85 ,PAI,A
D7215,129,629047,4/27/2022,01:38:32PM,431SNCT190,RBI431SNCT190,$294.79 ,1,$359.50 ,$359.50 ,$64.71 ,RBI,AP
5860,64,1144120,4/8/2022,11:00:06AM,OTC4555,ISNOTC4555,$10.57 ,1,$14.27 ,$14.27 ,$3.70 ,ISN,AP
1537,13,1145021,4/14/2022,03:22:02PM,60422-1212,AGA60422-1212,$4.69 ,6,$11.59 ,$69.54 ,$41.40 ,AGA,A
1537,13,1145021,4/14/2022,03:22:02PM,G25230-1216,GATG25230-1216,$19.21 ,6,$30.53 ,$183.18 ,$67.92 ,GAT,A
1537,13,1145021,4/14/2022,03:22:02PM,G25170-1216X,GATG25170-1216X,$10.42 ,6,$17.83 ,$106.98 ,$44.46 ,GAT,A
1537,13,1145021,4/14/2022,03:22:02PM,G25170-1212X,GATG25170-1212X,$9.56 ,6,$13.79 ,$82.74 ,$25.38 ,GAT,AP
5860,64,1145665,4/19/2022,11:01:15AM,MAX2-G,HUNMAX2-G,$5.59 ,2,$11.57 ,$23.14 ,$11.96 ,HUN,A
418,6,1146310,4/22/2022,04:56:58PM,TRA-3340HD,DAYTRA-3340HD,$120.88 ,2,$187.43 ,$374.86 ,$133.10 ,DAY,A
5860,64,1145665,4/19/2022,11:01:15AM,16222,VEL016222,$4.04 ,2,$6.75 ,$13.50 ,$5.42 ,VEL,AP
D9610,!WEB,626088,4/1/2022,02:14:01PM,5391,TAC5391,$298.66 ,1,$393.39 ,$393.39 ,$94.73 ,TAC,A
3344,54,1147639,4/30/2022,10:07:01AM,32006,GAT32006,$0.65 ,4,$1.46 ,$5.84 ,$3.24 ,GAT,AP
3344,54,1147639,4/30/2022,10:07:01AM,X5521-6CUT,FFBX5521-6CUT,$1.89 ,6,$3.57 ,$21.42 ,$10.08 ,FFB,AFP
5860,64,1147644,4/30/2022,10:40:54AM,85292,DOR85292,$1.42 ,1,$3.00 ,$3.00 ,$1.58 ,DOR,AP
5860,64,1147644,4/30/2022,10:40:54AM,87-7007,GRC87-7007,$11.41 ,1,$15.92 ,$15.92 ,$4.51 ,GRC,AP
5860,64,1147644,4/30/2022,10:40:54AM,E92005,ECCE92005,$20.88 ,1,$37.57 ,$37.57 ,$16.69 ,ECC,AP
5860,64,1147644,4/30/2022,10:40:54AM,84-2413,GRC84-2413,$6.61 ,1,$9.18 ,$9.18 ,$2.57 ,GRC,AP
5860,64,1147644,4/30/2022,10:40:54AM,E92006,ECCE92006,$23.91 ,2,$37.57 ,$75.14 ,$27.32 ,ECC,AP
D9654,97,627860,4/18/2022,11:07:35AM,982-011D,DOR982-011D,$1.74 ,1,$3.99 ,$3.99 ,$2.25 ,DOR,A
1599,88,1144416,4/11/2022,01:59:36PM,14966,VEL014966,$1.81 ,1,$4.52 ,$4.52 ,$2.71 ,VEL,A
D9654,97,627860,4/18/2022,11:07:35AM,41810,SHL41810,$7.45 ,6,$11.53 ,$69.18 ,$24.48 ,SHL,AP
1476,15,1144773,4/13/2022,10:57:37AM,R002237,MERR002237,$0.68 ,1,$1.96 ,$1.96 ,$1.28 ,MER,AP
1476,15,1144773,4/13/2022,10:57:37AM,R000572,MERR000572,$2.98 ,1,$4.50 ,$4.50 ,$1.52 ,MER,AP
1476,15,1144773,4/13/2022,10:57:37AM,R000572,MERR000572,$2.98 ,1,$4.50 ,$4.50 ,$1.52 ,MER,AP
D4637,97,629432,4/29/2022,04:49:23PM,42919,WIX42919,$36.54 ,1,$40.15 ,$40.15 ,$3.61 ,WIX,A
1476,15,1144773,4/13/2022,10:57:37AM,R000540,MERR000540,$3.84 ,1,$5.78 ,$5.78 ,$1.94 ,MER,AP
167,!WEB,1147269,4/28/2022,06:17:06AM,35200Y,TLC35200Y,$5.45 ,4,$8.37 ,$33.48 ,$11.68 ,TLC,A
705-1,4,627014,4/11/2022,09:47:12AM,F4-1212-FL,TEXF4-1212-FL,$12.08 ,1,$24.85 ,$24.85 ,$12.77 ,TEX,A
5860,15,1144294,4/11/2022,08:33:23AM,6319,TAC6319,$134.01 ,2,$189.26 ,$378.52 ,$110.50 ,TAC,AP
5860,15,1144294,4/11/2022,08:33:23AM,7585,TAC7585,$48.38 ,2,$67.68 ,$135.36 ,$38.60 ,TAC,AP
D9795-1,69,629156,4/28/2022,08:32:45AM,49478,WIX49478,$95.67 ,0,$92.21 ,,,WIX,A
D9795-1,69,629156,4/28/2022,08:32:45AM,33648,WIX33648,$18.97 ,1,$18.56 ,$18.56 ,($0.41),WIX,A
D9795-1,69,629156,4/28/2022,08:32:45AM,33738,WIX33738,$15.74 ,3,$14.85 ,$44.55 ,($2.67),WIX,A
5866,85,1144440,4/11/2022,08:23:40AM,WF10000,WIXWF10000,$25.15 ,3,$26.86 ,$80.58 ,$5.13 ,WIX,AP
D6388,95,626590,4/7/2022,09:21:53AM,41812,SHL41812,$10.59 ,6,$15.03 ,$90.18 ,$26.64 ,SHL,AP
